start
halfway
(10000, 5392)
         2949286 function calls (2915701 primitive calls) in 14.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
        1    0.000    0.000    0.008    0.008 ticker.py:1(<module>)
        1    0.000    0.000    0.008    0.008 mathtext.py:1(<module>)
        1    0.000    0.000    0.008    0.008 spines.py:1(<module>)
     2184    0.004    0.000    0.008    0.000 inspect.py:653(_findclass)
        1    0.000    0.000    0.008    0.008 hmac.py:1(<module>)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:1099(set_data)
       32    0.001    0.000    0.008    0.000 pool.py:179(Process)
     3084    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    33108    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.008    0.008 font_manager.py:1(<module>)
       12    0.000    0.000    0.008    0.001 threading.py:916(start)
    10880    0.008    0.000    0.008    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.008    0.008 linalg.py:1(<module>)
    19645    0.006    0.000    0.008    0.000 inspect.py:277(isfunction)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
       42    0.003    0.000    0.007    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:185(_write_atomic)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
    43462    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
       27    0.000    0.000    0.007    0.000 pyparsing.py:3294(__init__)
       47    0.000    0.000    0.007    0.000 __init__.py:1298(_add_data_doc)
    21568    0.007    0.000    0.007    0.000 fromnumeric.py:2118(_sum_dispatcher)
      566    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.007    0.007 subprocess.py:1(<module>)
       32    0.005    0.000    0.006    0.000 process.py:80(__init__)
    19133    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.006    0.003 __init__.py:46(_get_running_interactive_framework)
       32    0.000    0.000    0.006    0.000 colors.py:927(from_list)
