start
halfway
(10000, 5392)
         2949252 function calls (2915667 primitive calls) in 14.204 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 hmac.py:1(<module>)
        2    0.000    0.000    0.006    0.003 __init__.py:46(_get_running_interactive_framework)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
       27    0.000    0.000    0.006    0.000 pyparsing.py:3294(__init__)
       12    0.000    0.000    0.006    0.001 threading.py:916(start)
        2    0.006    0.003    0.006    0.003 {built-in method matplotlib._c_internal_utils.display_is_valid}
        1    0.000    0.000    0.006    0.006 _mathtext.py:1(<module>)
      451    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    21568    0.006    0.000    0.006    0.000 fromnumeric.py:2118(_sum_dispatcher)
    23916    0.005    0.000    0.005    0.000 enum.py:678(__new__)
       42    0.002    0.000    0.005    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
      286    0.001    0.000    0.005    0.000 overrides.py:89(verify_matching_signatures)
      233    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
      598    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
      417    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.005    0.005 pool.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
      703    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
        3    0.000    0.000    0.005    0.002 patches.py:2159(pprint_styles)
      428    0.001    0.000    0.005    0.000 rcsetup.py:310(validate_color)
        1    0.000    0.000    0.005    0.005 defchararray.py:1(<module>)
        2    0.000    0.000    0.005    0.002 version.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1882(Parser)
        1    0.000    0.000    0.005    0.005 __init__.py:189(_check_versions)
      764    0.001    0.000    0.005    0.000 {built-in method builtins.any}
    45163    0.005    0.000    0.005    0.000 {built-in method builtins.callable}
      315    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<lambda>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<listcomp>)
        3    0.000    0.000    0.004    0.001 patches.py:2163(<listcomp>)
      137    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
     8534    0.003    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
      358    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
    21586    0.004    0.000    0.004    0.000 {built-in method numpy.geterrobj}
     6344    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
     6004    0.002    0.000    0.004    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 reduction.py:1(<module>)
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
      428    0.000    0.000    0.004    0.000 colors.py:111(is_color_like)
 1494/480    0.003    0.000    0.004    0.000 sre_parse.py:175(getwidth)
      147    0.001    0.000    0.004    0.000 deprecation.py:133(deprecate)
       32    0.000    0.000    0.004    0.000 pool.py:179(Process)
        1    0.000    0.000    0.004    0.004 font_manager.py:1429(_load_fontmanager)
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ntpath.py:1(<module>)
       11    0.000    0.000    0.004    0.000 pyparsing.py:1901(parseString)
      317    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
       64    0.001    0.000    0.004    0.000 deprecation.py:318(delete_parameter)
        1    0.000    0.000    0.004    0.004 font_manager.py:1010(json_load)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.004    0.004 backend_tools.py:1(<module>)
     5428    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
    23603    0.004    0.000    0.004    0.000 {method 'isidentifier' of 'str' objects}
       61    0.000    0.000    0.004    0.000 rcsetup.py:107(<listcomp>)
    24936    0.003    0.000    0.003    0.000 inspect.py:2680(name)
       32    0.003    0.000    0.003    0.000 process.py:80(__init__)
      239    0.000    0.000    0.003    0.000 rcsetup.py:282(validate_color_for_prop_cycle)
      717    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    11954    0.002    0.000    0.003    0.000 _mathtext.py:2469(<genexpr>)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
        4    0.000    0.000    0.003    0.001 __init__.py:299(loads)
       17    0.001    0.000    0.003    0.000 enum.py:180(__new__)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
        4    0.000    0.000    0.003    0.001 decoder.py:332(decode)
     3084    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       26    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
     7245    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:4049(parseImpl)
        4    0.001    0.000    0.003    0.001 decoder.py:343(raw_decode)
      315    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      448    0.001    0.000    0.003    0.000 colors.py:152(to_rgba)
     5392    0.002    0.000    0.003    0.000 linalg.py:112(isComplexType)
      242    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
        3    0.001    0.000    0.003    0.001 C2_surface.py:22(sphere)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
      284    0.001    0.000    0.003    0.000 function_base.py:475(add_newdoc)
    21599    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
       18    0.000    0.000    0.003    0.000 rcsetup.py:390(validate_font_properties)
      717    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
     1338    0.001    0.000    0.003    0.000 re.py:187(match)
        1    0.000    0.000    0.003    0.003 axes3d.py:44(Axes3D)
        9    0.000    0.000    0.003    0.000 fontconfig_pattern.py:119(parse)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
        8    0.000    0.000    0.003    0.000 enum.py:483(_create_)
      283    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       16    0.000    0.000    0.003    0.000 rcsetup.py:618(cycler)
       10    0.000    0.000    0.003    0.000 pyparsing.py:5120(__init__)
     32/9    0.000    0.000    0.003    0.000 pyparsing.py:4466(leaveWhitespace)
        1    0.003    0.003    0.003    0.003 {built-in method posix.open}
        1    0.000    0.000    0.003    0.003 version.py:257(Version)
      359    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     5396    0.003    0.000    0.003    0.000 _ufunc_config.py:425(__init__)
      358    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
      410    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
       21    0.000    0.000    0.003    0.000 pyparsing.py:1518(setParseAction)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.003    0.003 dates.py:1(<module>)
      234    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
       25    0.000    0.000    0.003    0.000 pyparsing.py:1283(_trim_arity)
       36    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
       24    0.000    0.000    0.002    0.000 pyparsing.py:1291(extract_stack)
        1    0.000    0.000    0.002    0.002 twodim_base.py:1(<module>)
       10    0.000    0.000    0.002    0.000 pyparsing.py:3140(__init__)
    10784    0.002    0.000    0.002    0.000 fromnumeric.py:2362(_all_dispatcher)
      393    0.001    0.000    0.002    0.000 re.py:202(sub)
       24    0.000    0.000    0.002    0.000 traceback.py:216(extract_stack)
       36    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
     4125    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      315    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
      514    0.001    0.000    0.002    0.000 font_manager.py:968(_json_decode)
       24    0.000    0.000    0.002    0.000 traceback.py:338(extract)
       36    0.002    0.000    0.002    0.000 util.py:186(__init__)
      567    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
     56/9    0.000    0.000    0.002    0.000 pyparsing.py:3897(leaveWhitespace)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
       32    0.000    0.000    0.002    0.000 colors.py:287(to_rgba_array)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:942(source_to_code)
      717    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.002    0.002 pyplot.py:2025(_setup_pyplot_info_docstrings)
      653    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
