0.6731808185577393
         104806 function calls (102071 primitive calls) in 0.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      126    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
      225    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       22    0.000    0.000    0.000    0.000 enum.py:986(__and__)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      320    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
       15    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      302    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
      369    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
       57    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
        8    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 re.py:202(sub)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      129    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      362    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       40    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
      234    0.000    0.000    0.000    0.000 typing.py:1278(__eq__)
       49    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
       25    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      510    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 abc.py:110(register)
        1    0.000    0.000    0.000    0.000 numeric.py:2249(isclose)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2338(__new__)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
      332    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 npyio.py:106(NpzFile)
    36/15    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 linalg.py:2383(norm)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        3    0.000    0.000    0.000    0.000 typing.py:1138(__getitem__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       69    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      406    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
       35    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      106    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        9    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
    36/15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      129    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      370    0.000    0.000    0.000    0.000 {built-in method from_bytes}
    29/21    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
       42    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      480    0.000    0.000    0.000    0.000 typing.py:560(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
      108    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
        4    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      129    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:801(__init__)
       42    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      144    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       53    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      102    0.000    0.000    0.000    0.000 typing.py:1053(<genexpr>)
       22    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:65(_DTypeDictBase)
      183    0.000    0.000    0.000    0.000 typing.py:1272(_value_and_type_iter)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      388    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f2a8dac1360}
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1147(copy_with)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      927    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      246    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        8    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
       10    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
      149    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
