         3016217 function calls (3003914 primitive calls) in 37.620 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      177    0.022    0.000    0.022    0.000 {built-in method posix.waitpid}
        7    0.000    0.000    0.022    0.003 process.py:142(join)
        7    0.000    0.000    0.021    0.003 popen_fork.py:36(wait)
        1    0.000    0.000    0.021    0.021 pyparsing.py:1(<module>)
        1    0.000    0.000    0.021    0.021 defmatrix.py:1(<module>)
      232    0.001    0.000    0.021    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.020    0.020 linalg.py:1(<module>)
        1    0.002    0.002    0.020    0.020 Matrix_construct.py:43(construct_RHS)
    32058    0.019    0.000    0.019    0.000 {method 'expandtabs' of 'str' objects}
     6434    0.006    0.000    0.019    0.000 contextlib.py:279(helper)
       92    0.001    0.000    0.018    0.000 __init__.py:1342(_preprocess_data)
        1    0.000    0.000    0.018    0.018 pyplot.py:206(switch_backend)
        1    0.000    0.000    0.018    0.018 secrets.py:1(<module>)
     6402    0.017    0.000    0.017    0.000 {method 'dot' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.017    0.004 pool.py:671(_help_stuff_finish)
        1    0.000    0.000    0.017    0.017 category.py:1(<module>)
        4    0.017    0.004    0.017    0.004 {method 'acquire' of '_multiprocessing.SemLock' objects}
      352    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.016    0.016 __init__.py:2275(class_factory)
   234/16    0.000    0.000    0.016    0.001 ast.py:406(visit)
        1    0.012    0.012    0.016    0.016 plane_wave.py:37(evaluate_at_points)
   234/16    0.015    0.000    0.016    0.001 ast.py:412(generic_visit)
    38174    0.015    0.000    0.016    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.015    0.015 pyplot.py:267(backend_mod)
    28429    0.012    0.000    0.015    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.015    0.015 backend_tkagg.py:1(<module>)
     2445    0.015    0.000    0.015    0.000 {method 'rpartition' of 'str' objects}
 1247/232    0.007    0.000    0.014    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.014    0.014 _secondary_axes.py:1(<module>)
      297    0.014    0.000    0.014    0.000 {built-in method io.open_code}
     4000    0.007    0.000    0.014    0.000 artist.py:1448(aliased_name)
        1    0.000    0.000    0.014    0.014 _parser.py:1(<module>)
  233/169    0.000    0.000    0.013    0.000 typing.py:306(inner)
        1    0.000    0.000    0.013    0.013 utils.py:1(<module>)
     6434    0.011    0.000    0.013    0.000 contextlib.py:102(__init__)
        1    0.000    0.000    0.013    0.013 _backend_tk.py:1(<module>)
19235/19194    0.008    0.000    0.012    0.000 {built-in method builtins.hasattr}
      297    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
      317    0.001    0.000    0.012    0.000 overrides.py:142(decorator)
    25604    0.012    0.000    0.012    0.000 fromnumeric.py:2172(_sum_dispatcher)
      626    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:391(cached)
        1    0.000    0.000    0.011    0.011 platform.py:1(<module>)
        1    0.000    0.000    0.011    0.011 pickle.py:1(<module>)
    12811    0.011    0.000    0.011    0.000 {built-in method numpy.seterrobj}
      101    0.003    0.000    0.011    0.000 artist.py:139(<listcomp>)
        1    0.000    0.000    0.011    0.011 spines.py:1(<module>)
        1    0.000    0.000    0.011    0.011 font_manager.py:1(<module>)
     6401    0.011    0.000    0.011    0.000 {method 'set' of '_contextvars.ContextVar' objects}
    12898    0.011    0.000    0.011    0.000 {built-in method builtins.abs}
      329    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     2184    0.005    0.000    0.011    0.000 inspect.py:653(_findclass)
        1    0.000    0.000    0.010    0.010 Image.py:1(<module>)
        1    0.000    0.000    0.010    0.010 mathtext.py:1(<module>)
     3180    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.010    0.010 artist.py:1(<module>)
    19645    0.008    0.000    0.010    0.000 inspect.py:277(isfunction)
        1    0.000    0.000    0.009    0.009 cm.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pool.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pyparsing.py:6398(pyparsing_common)
      375    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:198(cb)
       47    0.000    0.000    0.009    0.000 __init__.py:1298(_add_data_doc)
        1    0.000    0.000    0.009    0.009 scimath.py:1(<module>)
        1    0.000    0.000    0.008    0.008 hmac.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
    43462    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.008    0.008 type_check.py:1(<module>)
    39176    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
        1    0.005    0.005    0.008    0.008 hermite.py:1(<module>)
