construction time 7.632368087768555
solution time 30.442911386489868
         2971872 function calls (2945852 primitive calls) in 41.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.030    0.030 cpu.py:1(<module>)
   203075    0.029    0.000    0.029    0.000 {built-in method builtins.isinstance}
     3763    0.015    0.000    0.029    0.000 linalg.py:2342(norm)
   296481    0.029    0.000    0.029    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.028    0.028 quiver.py:1(<module>)
        1    0.000    0.000    0.027    0.027 pyparsing.py:1(<module>)
       30    0.004    0.000    0.026    0.001 __init__.py:763(_rc_params_in_file)
        1    0.000    0.000    0.025    0.025 rules.py:1(<module>)
     3751    0.025    0.000    0.025    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       30    0.000    0.000    0.025    0.001 context.py:110(SimpleQueue)
        1    0.000    0.000    0.025    0.025 rules.py:16(_init_casting_rules)
       46    0.000    0.000    0.025    0.001 castgraph.py:119(insert_rule)
      216    0.013    0.000    0.025    0.000 artist.py:1358(<listcomp>)
       10    0.000    0.000    0.024    0.002 pool.py:671(_help_stuff_finish)
       46    0.005    0.000    0.024    0.001 castgraph.py:92(propagate)
       30    0.001    0.000    0.024    0.001 queues.py:339(__init__)
     7503    0.003    0.000    0.024    0.000 _methods.py:61(_all)
       10    0.024    0.002    0.024    0.002 {method 'acquire' of '_multiprocessing.SemLock' objects}
     2184    0.008    0.000    0.023    0.000 inspect.py:663(_finddoc)
      522    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.023    0.023 dylib.py:1(<module>)
      435    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
        2    0.001    0.000    0.022    0.011 core.py:1(<module>)
    38122    0.022    0.000    0.022    0.000 {method 'split' of 'str' objects}
 1466/262    0.008    0.000    0.022    0.000 sre_compile.py:87(_compile)
     8795    0.012    0.000    0.022    0.000 inspect.py:612(unwrap)
     3755    0.003    0.000    0.021    0.000 _ufunc_config.py:430(__enter__)
       10    0.000    0.000    0.021    0.002 pool.py:345(_setup_queues)
    24068    0.013    0.000    0.021    0.000 enum.py:359(__call__)
      419    0.001    0.000    0.021    0.000 ffi.py:139(__getattr__)
        1    0.000    0.000    0.021    0.021 textpath.py:1(<module>)
42823/42819    0.018    0.000    0.021    0.000 {method 'join' of 'str' objects}
