         2861753 function calls (2849461 primitive calls) in 64.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      296    0.009    0.000    0.009    0.000 {built-in method io.open_code}
      351    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        6    0.009    0.002    0.009    0.002 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.009    0.009 _array_like.py:1(<module>)
     5434    0.003    0.000    0.009    0.000 contextlib.py:279(helper)
        1    0.000    0.000    0.009    0.009 _parser.py:1(<module>)
      317    0.001    0.000    0.009    0.000 overrides.py:142(decorator)
     5402    0.009    0.000    0.009    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
19246/19205    0.006    0.000    0.009    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.008    0.008 pyparsing.py:6398(pyparsing_common)
        1    0.000    0.000    0.008    0.008 Image.py:1(<module>)
      101    0.002    0.000    0.008    0.000 artist.py:139(<listcomp>)
    70/66    0.000    0.000    0.008    0.000 typing.py:401(__getitem__)
       66    0.000    0.000    0.008    0.000 typing.py:483(Union)
    19645    0.006    0.000    0.008    0.000 inspect.py:277(isfunction)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cm.py:39(_gen_cmap_registry)
     2184    0.004    0.000    0.008    0.000 inspect.py:653(_findclass)
        1    0.000    0.000    0.008    0.008 artist.py:1(<module>)
        1    0.000    0.000    0.008    0.008 mathtext.py:1(<module>)
        1    0.000    0.000    0.007    0.007 spines.py:1(<module>)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
      296    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
       48    0.002    0.000    0.007    0.000 pool.py:179(Process)
     3174    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      592    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     5434    0.006    0.000    0.007    0.000 contextlib.py:102(__init__)
       27    0.000    0.000    0.007    0.000 pyparsing.py:3294(__init__)
        1    0.000    0.000    0.006    0.006 pool.py:1(<module>)
    10811    0.006    0.000    0.006    0.000 {built-in method numpy.seterrobj}
    43462    0.006    0.000    0.006    0.000 {method 'pop' of 'list' objects}
    21604    0.006    0.000    0.006    0.000 fromnumeric.py:2172(_sum_dispatcher)
       18    0.000    0.000    0.006    0.000 context.py:110(SimpleQueue)
        1    0.000    0.000    0.006    0.006 subprocess.py:1(<module>)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
    10898    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
     9648    0.003    0.000    0.005    0.000 inspect.py:632(_is_wrapper)
      436    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      706    0.004    0.000    0.005    0.000 functools.py:35(update_wrapper)
       48    0.004    0.000    0.005    0.000 process.py:80(__init__)
       47    0.000    0.000    0.005    0.000 __init__.py:1298(_add_data_doc)
    51920    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 _mathtext.py:1(<module>)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
      471    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       18    0.000    0.000    0.005    0.000 queues.py:339(__init__)
    38190    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
      278    0.001    0.000    0.005    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
       47    0.002    0.000    0.005    0.000 {built-in method builtins.eval}
      624    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
      372    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1594    0.002    0.000    0.005    0.000 typing.py:986(__setattr__)
      428    0.000    0.000    0.005    0.000 rcsetup.py:310(validate_color)
        1    0.000    0.000    0.005    0.005 pickle.py:1(<module>)
       36    0.000    0.000    0.005    0.000 context.py:65(Lock)
       32    0.001    0.000    0.005    0.000 colors.py:927(from_list)
      317    0.001    0.000    0.005    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:1(<module>)
        6    0.000    0.000    0.005    0.001 pool.py:345(_setup_queues)
      328    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      232    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
    33176    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
    23914    0.004    0.000    0.004    0.000 enum.py:678(__new__)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
      825    0.001    0.000    0.004    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.004    0.004 _mathtext.py:1882(Parser)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
    45288    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
      805    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      428    0.000    0.000    0.004    0.000 colors.py:111(is_color_like)
      296    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.004    0.004 backend_tools.py:1(<module>)
     5996    0.002    0.000    0.004    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<lambda>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<listcomp>)
       36    0.000    0.000    0.004    0.000 synchronize.py:161(__init__)
       36    0.003    0.000    0.004    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
     8529    0.003    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
      137    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
    45/12    0.001    0.000    0.004    0.000 typing.py:1046(__getitem__)
     5437    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 reduction.py:1(<module>)
       31    0.001    0.000    0.004    0.000 __init__.py:328(namedtuple)
     3174    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        2    0.000    0.000    0.004    0.002 __init__.py:46(_get_running_interactive_framework)
       64    0.000    0.000    0.004    0.000 deprecation.py:318(delete_parameter)
        1    0.001    0.001    0.004    0.004 pyplot.py:2025(_setup_pyplot_info_docstrings)
        1    0.000    0.000    0.004    0.004 __init__.py:189(_check_versions)
      147    0.001    0.000    0.003    0.000 deprecation.py:133(deprecate)
 1493/479    0.003    0.000    0.003    0.000 sre_parse.py:175(getwidth)
       54    0.003    0.000    0.003    0.000 util.py:186(__init__)
      433    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        2    0.003    0.002    0.003    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
       11    0.000    0.000    0.003    0.000 pyparsing.py:1901(parseString)
    24936    0.003    0.000    0.003    0.000 inspect.py:2680(name)
