here 1
 here 3
here 2
         36639787 function calls (35992064 primitive calls) in 29.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.111    0.111 multiarray.py:1(<module>)
    11034    0.043    0.000    0.111    0.000 _base.py:2942(_get_axis_map)
     3679    0.005    0.000    0.109    0.000 cm.py:537(set_cmap)
        2    0.001    0.001    0.109    0.055 old_builtins.py:1(<module>)
   262998    0.109    0.000    0.109    0.000 transforms.py:107(__init__)
        1    0.000    0.000    0.109    0.109 overrides.py:1(<module>)
    33078    0.024    0.000    0.108    0.000 <__array_function__ internals>:177(ravel)
    33167    0.014    0.000    0.108    0.000 getlimits.py:581(tiny)
        1    0.000    0.000    0.107    0.107 _pickle.py:1(<module>)
     3699    0.002    0.000    0.107    0.000 collections.py:1500(set_color)
     3679    0.015    0.000    0.105    0.000 cm.py:259(get_cmap)
     7355    0.030    0.000    0.104    0.000 transforms.py:869(update_from_path)
     3879    0.050    0.000    0.103    0.000 artist.py:149(__init__)
    14814    0.011    0.000    0.099    0.000 <__array_function__ internals>:177(amin)
     3740    0.007    0.000    0.099    0.000 <__array_function__ internals>:177(any)
   237953    0.099    0.000    0.099    0.000 {built-in method numpy.asarray}
    91337    0.025    0.000    0.099    0.000 abc.py:117(__instancecheck__)
     3700    0.007    0.000    0.098    0.000 <__array_function__ internals>:177(stack)
    41/36    0.000    0.000    0.096    0.003 <frozen importlib._bootstrap_external>:1182(exec_module)
    41/36    0.034    0.001    0.096    0.003 {built-in method _imp.exec_dynamic}
375024/374983    0.084    0.000    0.096    0.000 {built-in method builtins.hasattr}
    26387    0.034    0.000    0.095    0.000 transforms.py:170(invalidate)
    33167    0.094    0.000    0.094    0.000 getlimits.py:558(smallest_normal)
   105848    0.058    0.000    0.093    0.000 __init__.py:1290(_to_unmasked_float_array)
     3991    0.008    0.000    0.092    0.000 transforms.py:2012(rotate_deg)
     9249    0.004    0.000    0.092    0.000 {method 'mean' of 'numpy.ndarray' objects}
    85157    0.054    0.000    0.092    0.000 enum.py:359(__call__)
     9537    0.033    0.000    0.091    0.000 _methods.py:164(_mean)
    22328    0.014    0.000    0.089    0.000 axis.py:1495(convert_units)
    60188    0.031    0.000    0.087    0.000 __init__.py:1184(is_interactive)
      265    0.002    0.000    0.087    0.000 sre_compile.py:783(compile)
      202    0.008    0.000    0.086    0.000 text.py:290(_get_layout)
83690/82922    0.023    0.000    0.086    0.000 {built-in method builtins.next}
    14810    0.010    0.000    0.085    0.000 <__array_function__ internals>:177(amax)
        1    0.000    0.000    0.084    0.084 pyplot.py:206(switch_backend)
       30    0.045    0.002    0.084    0.003 __init__.py:763(_rc_params_in_file)
     3991    0.020    0.000    0.083    0.000 transforms.py:1996(rotate)
     3675    0.015    0.000    0.083    0.000 axes3d.py:2726(<listcomp>)
75123/41781    0.059    0.000    0.081    0.000 transforms.py:2409(<lambda>)
